Received Time,Timestamp,RSSI,SNR,SF,Frequency,Airtime
2024-11-24 13:28:18,4256827376,-86,-6,7,905300000,0.071936s
2024-11-24 13:28:02,4240305215,-93,11.2,7,903900000,0.071936s
2024-11-24 13:27:45,4223530110,-89,11,7,904300000,0.077056s
2024-11-24 13:27:28,4206592489,-87,13,7,904500000,0.077056s
2024-11-24 13:27:28,4206592489,-82,-2.8,7,904500000,0.077056s
2024-11-24 13:27:11,4189920094,-87,12.5,7,904700000,0.077056s
2024-11-24 13:26:54,4172691846,-87,13.2,7,904100000,0.077056s
2024-11-24 13:26:54,4172691846,-78,-2.5,7,904100000,0.077056s
2024-11-24 13:26:38,4156013851,-85,13.8,7,903900000,0.077056s
2024-11-24 13:26:38,4156013851,-80,0.8,7,903900000,0.077056s
2024-11-24 13:26:21,4139448632,-83,13.5,7,904900000,0.077056s
2024-11-24 13:26:21,4139448632,-83,-6.5,7,904900000,0.077056s
2024-11-24 13:26:04,4122512434,-84,13.5,7,904500000,0.077056s
2024-11-24 13:26:04,4122512434,-79,-3.2,7,904500000,0.077056s
2024-11-24 13:25:47,4105657450,-84,13.2,7,905300000,0.077056s
2024-11-24 13:25:47,4105657450,-85,-1,7,905300000,0.077056s
2024-11-24 13:25:30,4088466150,-84,13.5,7,904700000,0.082176s
2024-11-24 13:25:13,4071646645,-84,11.2,7,904300000,0.071936s
2024-11-24 13:25:13,4071646645,-78,-1.8,7,904300000,0.071936s
2024-11-24 13:24:48,4046792806,-94,10.5,7,904700000,0.077056s
2024-11-24 13:24:42,4040645202,-94,9.2,7,904300000,0.071936s
2024-11-24 13:24:25,4023777462,-94,9.5,7,905300000,0.071936s
2024-11-24 13:24:08,4006827857,-93,10.5,7,904900000,0.071936s
2024-11-24 13:23:52,3990393094,-94,9.2,7,904300000,0.071936s
2024-11-24 13:23:35,3973767788,-95,9,7,905100000,0.071936s
2024-11-24 13:23:19,3957365120,-97,8.2,7,904500000,0.071936s
2024-11-24 13:23:02,3940599296,-99,7,7,904100000,0.071936s
2024-11-24 13:22:46,3924142491,-97,8,7,905300000,0.071936s
2024-11-24 13:22:29,3907603968,-97,8.2,7,904700000,0.071936s
2024-11-24 13:22:12,3890695181,-96,9.2,7,903900000,0.071936s
2024-11-24 13:21:55,3873620450,-94,9.8,7,905100000,0.071936s
2024-11-24 13:21:38,3856542707,-94,9.5,7,904700000,0.071936s
2024-11-24 13:21:21,3839387149,-93,9.5,7,904300000,0.071936s
2024-11-24 13:21:04,3822863293,-93,10,7,905300000,0.071936s
2024-11-24 13:20:48,3806109733,-93,10.2,7,904100000,0.071936s
2024-11-24 13:20:48,3806109733,-82,-7,7,904100000,0.071936s
2024-11-24 13:20:30,3788820441,-92,10.2,7,904900000,0.071936s
2024-11-24 13:20:13,3771914111,-93,10.8,7,904500000,0.071936s
2024-11-24 13:19:56,3754852306,-93,10.8,7,903900000,0.071936s
2024-11-24 13:19:40,3738233451,-93,11,7,904500000,0.071936s
2024-11-24 13:19:23,3721753299,-93,11,7,904100000,0.071936s
2024-11-24 13:19:06,3704750809,-93,9.2,7,904300000,0.071936s
2024-11-24 13:19:06,3704750809,-84,-6.5,7,904300000,0.071936s
2024-11-24 13:18:50,3688193407,-93,10.2,7,905300000,0.071936s
2024-11-24 13:18:33,3671269995,-95,10.2,7,903900000,0.071936s
2024-11-24 13:18:33,3671269995,-84,-5,7,903900000,0.071936s
2024-11-24 13:18:16,3654408020,-89,12,7,905100000,0.071936s
2024-11-24 13:07:03,2981260814,-98,8.5,7,903900000,0.071936s
